date,season,home_team,away_team,home_goals,away_goals,odd_home,odd_draw,odd_away,result,home_elo_before,away_elo_before,elo_diff,home_elo_trend_5,elo_change_home,elo_change_away,home_points_last5,away_points_last5,form_diff_points_last5,home_goals_scored_rm5,away_goals_conceded_rm5,home_form_ratio,away_form_ratio,home_gd_roll5,away_gd_roll5,avg_goal_diff_last5,home_cleansheets_last5,away_cleansheets_last5,home_btts_last5,p_home_market,p_draw_market,p_away_market,overround_wdl,p_home_fair,p_draw_fair,p_away_fair,round,max_round,is_first_half,season_half,days_since_season_start,rest_days_home,matches_last14_home,rest_days_away,matches_last14_away
2024-08-16,2024/2025,Man United,Fulham,1,0,1.62,4.36,5.15,H,1500.0,1500.0,22.0,,11.0,-11.0,,,,,,,,,,,,,,0.6172839506172839,0.2293577981651376,0.1941747572815534,1.040816506063975,0.5930766345661143,0.22036333669658376,0.18656002873730199,1,109,True,H1,0,7.0,0.0,7.0,0.0
2024-08-17,2024/2025,Ipswich,Liverpool,0,2,8.28,5.76,1.34,A,1500.0,1500.0,-33.0,,-16.5,16.5,,,,,,,,,,,,,,0.12077294685990339,0.1736111111111111,0.7462686567164178,1.0406527146874325,0.11605499621089098,0.16682905705315576,0.7171159467359531,2,109,True,H1,1,7.0,0.0,7.0,0.0
2024-08-17,2024/2025,Arsenal,Wolves,2,0,1.18,7.86,15.87,H,1500.0,1500.0,33.0,,16.5,-16.5,,,,,,,,,,,,,,0.8474576271186441,0.1272264631043257,0.06301197227473221,1.037696062497702,0.816672297164586,0.12260474690257142,0.06072295593284257,2,109,True,H1,1,7.0,0.0,7.0,0.0
2024-08-17,2024/2025,Everton,Brighton,0,3,2.67,3.41,2.68,A,1500.0,1500.0,-38.5,,-19.25,19.25,,,,,,,,,,,,,,0.37453183520599254,0.29325513196480935,0.3731343283582089,1.0409212955290108,0.3598080246937884,0.28172651786874336,0.3584654574374682,2,109,True,H1,1,7.0,0.0,7.0,0.0
2024-08-17,2024/2025,Newcastle,Southampton,1,0,1.35,5.62,8.1,H,1500.0,1500.0,22.0,,11.0,-11.0,,,,,,,,,,,,,,0.7407407407407407,0.17793594306049823,0.1234567901234568,1.0421334739246957,0.7107925801011804,0.17074198988195619,0.11846543001686342,2,109,True,H1,1,7.0,0.0,7.0,0.0
2024-08-17,2024/2025,Nott'm Forest,Bournemouth,1,1,2.45,3.49,2.89,D,1500.0,1500.0,0.0,,0.0,-0.0,,,,,,,,,,,,,,0.4081632653061224,0.28653295128939826,0.3460207612456747,1.0407169778411953,0.3921942987350829,0.2753226452438261,0.3324830560210911,2,109,True,H1,1,7.0,0.0,7.0,0.0
2024-08-17,2024/2025,West Ham,Aston Villa,1,2,2.44,3.69,2.79,A,1500.0,1500.0,-22.0,,-11.0,11.0,,,,,,,,,,,,,,0.4098360655737705,0.2710027100271003,0.35842293906810035,1.039261714668971,0.3943530871858517,0.26076464301720276,0.3448822697969456,2,109,True,H1,1,7.0,0.0,7.0,0.0
2024-08-18,2024/2025,Brentford,Crystal Palace,2,1,2.46,3.44,2.9,H,1500.0,1500.0,22.0,,11.0,-11.0,,,,,,,,,,,,,,0.4065040650406504,0.29069767441860467,0.3448275862068966,1.0420293256661517,0.39010808527944185,0.278972642380066,0.33091927234049207,3,109,True,H1,2,7.0,0.0,7.0,0.0
2024-08-18,2024/2025,Chelsea,Man City,0,2,4.05,4.0,1.83,A,1500.0,1500.0,-33.0,,-16.5,16.5,,,,,,,,,,,,,,0.2469135802469136,0.25,0.5464480874316939,1.0433616676786075,0.23665195674312597,0.23961010620241502,0.523737937054459,3,109,True,H1,2,7.0,0.0,7.0,0.0
2024-08-19,2024/2025,Leicester,Tottenham,1,1,5.01,4.37,1.63,D,1500.0,1500.0,0.0,,0.0,-0.0,,,,,,,,,,,,,,0.1996007984031936,0.22883295194508008,0.6134969325153374,1.0419306828636112,0.191568212440598,0.2196239689536375,0.5888078186057644,4,109,True,H1,3,7.0,0.0,7.0,0.0
2024-08-24,2024/2025,Brighton,Man United,2,1,2.5,3.72,2.69,H,1519.2,1511.0,29.7,19.25,10.74,-10.74,,,0.0,3.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.4,0.26881720430107525,0.3717472118959108,1.040564416196986,0.38440676403475754,0.25833787905561656,0.35725535690962595,5,109,True,H1,8,7.0,0.0,7.0,0.0
2024-08-24,2024/2025,Crystal Palace,West Ham,0,2,2.17,3.63,3.25,A,1489.0,1489.0,-33.0,-11.0,-16.5,16.5,,,0.0,1.0,2.0,,,-1.0,-1.0,0.0,0.0,0.0,1.0,0.4608294930875576,0.27548209366391185,0.3076923076923077,1.0440038944437773,0.44140591384774247,0.26387075290622625,0.29472333324603117,5,109,True,H1,8,7.0,0.0,7.0,0.0
2024-08-24,2024/2025,Fulham,Leicester,2,1,1.83,3.73,4.38,H,1489.0,1500.0,11.7,-11.0,11.35,-11.35,,,-1.0,0.0,1.0,,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.5464480874316939,0.2680965147453083,0.22831050228310504,1.0428551044601073,0.5239923409250545,0.2570793522500938,0.2189283068248516,5,109,True,H1,8,7.0,0.0,7.0,0.0
2024-08-24,2024/2025,Man City,Ipswich,4,1,1.09,12.17,26.97,H,1516.5,1483.5,67.9,16.5,17.43,-17.43,,,3.0,2.0,2.0,1.0,,2.0,-2.0,4.0,1.0,0.0,0.0,0.9174311926605504,0.08216926869350863,0.03707823507601039,1.0366786964300694,0.884971588419669,0.07926204037612485,0.035766371204206136,5,109,True,H1,8,7.0,0.0,7.0,0.0
